@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2021/11/10 20:09:25:287',1,0.121502,1
2,'2021/11/10 20:09:25:304',1,0.120721,1
3,'2021/11/10 20:09:25:320',1,0.120721,1
4,'2021/11/10 20:09:25:338',1,0.12002,1
5,'2021/11/10 20:09:25:354',1,0.12002,1
6,'2021/11/10 20:09:25:370',1,0.119069,1
7,'2021/11/10 20:09:25:388',1,0.119069,1
8,'2021/11/10 20:09:25:404',1,0.116717,1
9,'2021/11/10 20:09:25:421',1,0.116717,1
10,'2021/11/10 20:09:25:438',1,0.116984,1
11,'2021/11/10 20:09:25:454',1,0.116984,1
12,'2021/11/10 20:09:25:471',1,0.113981,1
13,'2021/11/10 20:09:25:488',1,0.113981,1
14,'2021/11/10 20:09:25:505',1,0.112855,1
15,'2021/11/10 20:09:25:521',1,0.112855,1
16,'2021/11/10 20:09:25:538',1,0.108359,1
17,'2021/11/10 20:09:25:555',1,0.108359,1
18,'2021/11/10 20:09:25:571',1,0.106392,1
19,'2021/11/10 20:09:25:588',1,0.106392,1
20,'2021/11/10 20:09:25:604',1,0.104601,1
21,'2021/11/10 20:09:25:621',1,0.104601,1
22,'2021/11/10 20:09:25:638',1,0.103268,1
23,'2021/11/10 20:09:25:654',1,0.103268,1
24,'2021/11/10 20:09:25:671',1,0.10361,1
25,'2021/11/10 20:09:25:688',1,0.10361,1
26,'2021/11/10 20:09:25:704',1,0.103697,1
27,'2021/11/10 20:09:25:721',1,0.103697,1
28,'2021/11/10 20:09:25:738',1,0.104605,1
29,'2021/11/10 20:09:25:755',1,0.104605,1
30,'2021/11/10 20:09:25:771',1,0.104322,1
31,'2021/11/10 20:09:25:788',1,0.104322,1
32,'2021/11/10 20:09:25:804',1,0.106842,1
33,'2021/11/10 20:09:25:821',1,0.106842,1
34,'2021/11/10 20:09:25:838',1,0.10733,1
35,'2021/11/10 20:09:25:855',1,0.10733,1
36,'2021/11/10 20:09:25:872',1,0.108286,1
37,'2021/11/10 20:09:25:888',1,0.108286,1
38,'2021/11/10 20:09:25:905',1,0.110198,1
39,'2021/11/10 20:09:25:922',1,0.110198,1
40,'2021/11/10 20:09:25:938',1,0.112789,1
41,'2021/11/10 20:09:25:954',1,0.112789,1
42,'2021/11/10 20:09:25:971',1,0.112505,1
43,'2021/11/10 20:09:25:988',1,0.112505,1
44,'2021/11/10 20:09:26:005',1,0.111594,1
45,'2021/11/10 20:09:26:022',1,0.111594,1
46,'2021/11/10 20:09:26:038',1,0.114051,1
47,'2021/11/10 20:09:26:055',1,0.114051,1
48,'2021/11/10 20:09:26:072',1,0.115401,1
49,'2021/11/10 20:09:26:089',1,0.115401,1
50,'2021/11/10 20:09:26:105',1,0.119892,1
51,'2021/11/10 20:09:26:122',1,0.119892,1
52,'2021/11/10 20:09:26:139',1,0.123905,1
53,'2021/11/10 20:09:26:156',1,0.123905,1
54,'2021/11/10 20:09:26:172',1,0.128474,1
55,'2021/11/10 20:09:26:189',1,0.128474,1
56,'2021/11/10 20:09:26:206',1,0.131237,1
57,'2021/11/10 20:09:26:222',1,0.131237,1
58,'2021/11/10 20:09:26:239',1,0.134566,1
59,'2021/11/10 20:09:26:256',1,0.134566,1
60,'2021/11/10 20:09:26:273',1,0.142597,1
61,'2021/11/10 20:09:26:290',1,0.142597,1
62,'2021/11/10 20:09:26:306',1,0.144365,1
63,'2021/11/10 20:09:26:322',1,0.144365,1
64,'2021/11/10 20:09:26:339',1,0.14612,1
65,'2021/11/10 20:09:26:355',1,0.14612,1
66,'2021/11/10 20:09:26:372',1,0.143541,1
67,'2021/11/10 20:09:26:389',1,0.143541,1
68,'2021/11/10 20:09:26:406',1,0.146799,1
69,'2021/11/10 20:09:26:423',1,0.146799,1
70,'2021/11/10 20:09:26:439',1,0.146438,1
71,'2021/11/10 20:09:26:457',1,0.146438,1
72,'2021/11/10 20:09:26:473',1,0.144684,1
73,'2021/11/10 20:09:26:490',1,0.144684,1
74,'2021/11/10 20:09:26:506',1,0.141645,1
75,'2021/11/10 20:09:26:523',1,0.141645,1
76,'2021/11/10 20:09:26:540',1,0.141294,1
77,'2021/11/10 20:09:26:557',1,0.141294,1
78,'2021/11/10 20:09:26:573',1,0.137912,1
79,'2021/11/10 20:09:26:590',1,0.137912,1
80,'2021/11/10 20:09:26:607',1,0.132121,1
81,'2021/11/10 20:09:26:624',1,0.132121,1
82,'2021/11/10 20:09:26:640',1,0.130817,1
83,'2021/11/10 20:09:26:658',1,0.130817,1
84,'2021/11/10 20:09:26:673',1,0.128593,1
85,'2021/11/10 20:09:26:690',1,0.128593,1
86,'2021/11/10 20:09:26:706',1,0.128005,1
87,'2021/11/10 20:09:26:724',1,0.128005,1
88,'2021/11/10 20:09:26:740',1,0.124087,1
89,'2021/11/10 20:09:26:757',1,0.124087,1
90,'2021/11/10 20:09:26:774',1,0.120746,1
91,'2021/11/10 20:09:26:791',1,0.120746,1
92,'2021/11/10 20:09:26:807',1,0.120581,1
93,'2021/11/10 20:09:26:824',1,0.120581,1
94,'2021/11/10 20:09:26:840',1,0.120611,1
95,'2021/11/10 20:09:26:857',1,0.120611,1
96,'2021/11/10 20:09:26:874',1,0.117945,1
97,'2021/11/10 20:09:26:891',1,0.117945,1
98,'2021/11/10 20:09:26:908',1,0.118921,1
99,'2021/11/10 20:09:26:925',1,0.118921,1
100,'2021/11/10 20:09:26:941',1,0.11874,1
101,'2021/11/10 20:09:26:958',1,0.11874,1
102,'2021/11/10 20:09:26:974',1,0.11551,1
103,'2021/11/10 20:09:26:991',1,0.11551,1
104,'2021/11/10 20:09:27:008',1,0.113383,1
105,'2021/11/10 20:09:27:025',1,0.113383,1
106,'2021/11/10 20:09:27:041',1,0.112372,1
107,'2021/11/10 20:09:27:058',1,0.112372,1
108,'2021/11/10 20:09:27:074',1,0.112145,1
109,'2021/11/10 20:09:27:092',1,0.112145,1
110,'2021/11/10 20:09:27:107',1,0.107151,1
111,'2021/11/10 20:09:27:124',1,0.107151,1
112,'2021/11/10 20:09:27:141',1,0.10528,1
113,'2021/11/10 20:09:27:158',1,0.10528,1
114,'2021/11/10 20:09:27:174',1,0.100777,1
115,'2021/11/10 20:09:27:192',1,0.100777,1
116,'2021/11/10 20:09:27:208',1,0.097934,1
117,'2021/11/10 20:09:27:225',1,0.097934,1
118,'2021/11/10 20:09:27:241',1,0.095465,1
119,'2021/11/10 20:09:27:259',1,0.095465,1
120,'2021/11/10 20:09:27:275',1,0.091634,1
121,'2021/11/10 20:09:27:293',1,0.091634,1
122,'2021/11/10 20:09:27:309',1,0.091825,1
123,'2021/11/10 20:09:27:326',1,0.091825,1
124,'2021/11/10 20:09:27:342',1,0.094208,1
125,'2021/11/10 20:09:27:360',1,0.094208,1
126,'2021/11/10 20:09:27:376',1,0.096538,1
127,'2021/11/10 20:09:27:394',1,0.096538,1
128,'2021/11/10 20:09:27:410',1,0.095674,1
129,'2021/11/10 20:09:27:425',1,0.095674,1
130,'2021/11/10 20:09:27:442',1,0.095013,1
131,'2021/11/10 20:09:27:459',1,0.095013,1
132,'2021/11/10 20:09:27:475',1,0.095181,1
133,'2021/11/10 20:09:27:493',1,0.095181,1
134,'2021/11/10 20:09:27:509',1,0.094379,1
135,'2021/11/10 20:09:27:526',1,0.094379,1
136,'2021/11/10 20:09:27:542',1,0.092523,1
137,'2021/11/10 20:09:27:560',1,0.092523,1
138,'2021/11/10 20:09:27:575',1,0.09235,1
139,'2021/11/10 20:09:27:593',1,0.09235,1
140,'2021/11/10 20:09:27:609',1,0.092574,1
141,'2021/11/10 20:09:27:626',1,0.092574,1
142,'2021/11/10 20:09:27:642',1,0.093559,1
143,'2021/11/10 20:09:27:660',1,0.093559,1
144,'2021/11/10 20:09:27:676',1,0.095381,1
145,'2021/11/10 20:09:27:693',1,0.095381,1
146,'2021/11/10 20:09:27:710',1,0.096565,1
147,'2021/11/10 20:09:27:727',1,0.096565,1
148,'2021/11/10 20:09:27:743',1,0.097601,1
149,'2021/11/10 20:09:27:760',1,0.097601,1
150,'2021/11/10 20:09:27:778',1,0.09871,1
151,'2021/11/10 20:09:27:794',1,0.102144,1
152,'2021/11/10 20:09:27:809',1,0.102144,1
153,'2021/11/10 20:09:27:827',1,0.102144,1
154,'2021/11/10 20:09:27:842',1,0.105107,1
155,'2021/11/10 20:09:27:860',1,0.105107,1
156,'2021/11/10 20:09:27:876',1,0.106598,1
157,'2021/11/10 20:09:27:893',1,0.106598,1
158,'2021/11/10 20:09:27:910',1,0.106769,1
159,'2021/11/10 20:09:27:927',1,0.106769,1
160,'2021/11/10 20:09:27:943',1,0.108307,1
161,'2021/11/10 20:09:27:961',1,0.108307,1
162,'2021/11/10 20:09:27:977',1,0.10904,1
163,'2021/11/10 20:09:47:580',2,0.436899,2
164,'2021/11/10 20:09:47:597',2,0.436899,2
165,'2021/11/10 20:09:47:613',2,0.439455,2
166,'2021/11/10 20:09:47:632',2,0.439455,2
167,'2021/11/10 20:09:47:648',2,0.438239,2
168,'2021/11/10 20:09:47:664',2,0.438239,2
169,'2021/11/10 20:09:47:681',2,0.441585,2
170,'2021/11/10 20:09:47:698',2,0.441585,2
171,'2021/11/10 20:09:47:714',2,0.44306,2
172,'2021/11/10 20:09:47:732',2,0.44306,2
173,'2021/11/10 20:09:47:748',2,0.447966,2
174,'2021/11/10 20:09:47:765',2,0.447966,2
175,'2021/11/10 20:09:47:781',2,0.45241,2
176,'2021/11/10 20:09:47:799',2,0.454348,2
177,'2021/11/10 20:09:47:815',2,0.454348,2
178,'2021/11/10 20:09:47:832',2,0.454348,2
179,'2021/11/10 20:09:47:848',2,0.460207,2
180,'2021/11/10 20:09:47:865',2,0.460207,2
181,'2021/11/10 20:09:47:882',2,0.466354,2
182,'2021/11/10 20:09:47:899',2,0.471143,2
183,'2021/11/10 20:09:47:914',2,0.471143,2
184,'2021/11/10 20:09:47:931',2,0.477685,2
185,'2021/11/10 20:09:47:948',2,0.477685,2
186,'2021/11/10 20:09:47:964',2,0.483693,2
187,'2021/11/10 20:09:47:981',2,0.483693,2
188,'2021/11/10 20:09:47:998',2,0.484547,2
189,'2021/11/10 20:09:48:014',2,0.484547,2
190,'2021/11/10 20:09:48:031',2,0.490816,2
191,'2021/11/10 20:09:48:048',2,0.490816,2
192,'2021/11/10 20:09:48:065',2,0.490816,2
193,'2021/11/10 20:09:48:081',2,0.499657,2
194,'2021/11/10 20:09:48:099',2,0.499657,2
195,'2021/11/10 20:09:48:115',2,0.502519,2
196,'2021/11/10 20:09:48:133',2,0.502519,2
197,'2021/11/10 20:09:48:149',2,0.507056,2
198,'2021/11/10 20:09:48:166',2,0.513456,2
199,'2021/11/10 20:09:48:182',2,0.513456,2
200,'2021/11/10 20:09:48:199',2,0.513456,2
201,'2021/11/10 20:09:48:216',2,0.517098,2
202,'2021/11/10 20:09:48:232',2,0.517098,2
203,'2021/11/10 20:09:48:249',2,0.520066,2
204,'2021/11/10 20:09:48:267',2,0.520066,2
205,'2021/11/10 20:09:48:283',2,0.518952,2
206,'2021/11/10 20:09:48:300',2,0.518952,2
207,'2021/11/10 20:09:48:315',2,0.519252,2
208,'2021/11/10 20:09:48:333',2,0.519252,2
209,'2021/11/10 20:09:48:349',2,0.520173,2
210,'2021/11/10 20:09:48:366',2,0.520173,2
211,'2021/11/10 20:09:48:382',2,0.517092,2
212,'2021/11/10 20:09:48:399',2,0.512469,2
213,'2021/11/10 20:09:48:415',2,0.512469,2
214,'2021/11/10 20:09:48:433',2,0.512469,2
215,'2021/11/10 20:09:48:450',2,0.508605,2
216,'2021/11/10 20:09:48:467',2,0.506275,2
217,'2021/11/10 20:09:48:483',2,0.506275,2
218,'2021/11/10 20:09:48:499',2,0.502102,2
219,'2021/11/10 20:09:48:516',2,0.502102,2
220,'2021/11/10 20:09:48:533',2,0.500901,2
221,'2021/11/10 20:09:48:550',2,0.500901,2
222,'2021/11/10 20:09:48:567',2,0.497522,2
223,'2021/11/10 20:09:48:583',2,0.497522,2
224,'2021/11/10 20:09:48:600',2,0.491046,2
225,'2021/11/10 20:09:48:617',2,0.491046,2
226,'2021/11/10 20:09:48:634',2,0.491046,2
227,'2021/11/10 20:09:48:650',2,0.488811,2
228,'2021/11/10 20:09:48:667',2,0.480566,2
229,'2021/11/10 20:09:48:683',2,0.480566,2
230,'2021/11/10 20:09:48:700',2,0.47729,2
231,'2021/11/10 20:09:48:716',2,0.47729,2
232,'2021/11/10 20:09:48:734',2,0.47729,2
233,'2021/11/10 20:09:48:750',2,0.468402,2
234,'2021/11/10 20:09:48:768',2,0.460997,2
235,'2021/11/10 20:09:48:783',2,0.460997,2
236,'2021/11/10 20:09:48:801',2,0.460997,2
237,'2021/11/10 20:09:48:817',2,0.45501,2
238,'2021/11/10 20:09:48:835',2,0.448298,2
239,'2021/11/10 20:09:48:851',2,0.448298,2
240,'2021/11/10 20:09:48:869',2,0.448298,2
241,'2021/11/10 20:09:48:884',2,0.446313,2
242,'2021/11/10 20:09:48:902',2,0.446313,2
243,'2021/11/10 20:09:48:917',2,0.439134,2
244,'2021/11/10 20:09:48:935',2,0.435441,2
245,'2021/11/10 20:09:48:951',2,0.435441,2
246,'2021/11/10 20:09:48:969',2,0.435441,2
247,'2021/11/10 20:09:48:984',2,0.431638,2
248,'2021/11/10 20:09:49:003',2,0.431638,2
249,'2021/11/10 20:09:49:018',2,0.428438,2
250,'2021/11/10 20:09:49:036',2,0.424894,2
251,'2021/11/10 20:09:49:052',2,0.424894,2
252,'2021/11/10 20:09:49:068',2,0.423559,2
253,'2021/11/10 20:09:49:084',2,0.423559,2
254,'2021/11/10 20:09:49:101',2,0.424055,2
255,'2021/11/10 20:09:49:118',2,0.424055,2
256,'2021/11/10 20:09:49:135',2,0.421617,2
257,'2021/11/10 20:09:49:151',2,0.421617,2
258,'2021/11/10 20:09:49:168',2,0.421344,2
259,'2021/11/10 20:09:49:185',2,0.421344,2
260,'2021/11/10 20:09:49:202',2,0.423033,2
261,'2021/11/10 20:09:49:219',2,0.423033,2
262,'2021/11/10 20:09:49:235',2,0.424208,2
263,'2021/11/10 20:09:49:253',2,0.424208,2
264,'2021/11/10 20:09:49:269',2,0.427025,2
265,'2021/11/10 20:09:49:286',2,0.427025,2
266,'2021/11/10 20:09:49:302',2,0.431758,2
267,'2021/11/10 20:09:49:320',2,0.431758,2
268,'2021/11/10 20:09:49:336',2,0.438514,2
269,'2021/11/10 20:09:49:353',2,0.438514,2
270,'2021/11/10 20:09:49:370',2,0.441889,2
271,'2021/11/10 20:09:49:386',2,0.441889,2
272,'2021/11/10 20:09:49:404',2,0.447735,2
273,'2021/11/10 20:09:49:420',2,0.447735,2
274,'2021/11/10 20:09:49:435',2,0.452493,2
275,'2021/11/10 20:09:49:453',2,0.452493,2
276,'2021/11/10 20:09:49:469',2,0.459167,2
277,'2021/11/10 20:09:49:487',2,0.459167,2
278,'2021/11/10 20:09:49:503',2,0.465107,2
279,'2021/11/10 20:09:49:520',2,0.465107,2
280,'2021/11/10 20:09:49:536',2,0.469907,2
281,'2021/11/10 20:09:49:553',2,0.469907,2
282,'2021/11/10 20:09:49:572',2,0.469907,2
283,'2021/11/10 20:09:49:572',2,0.469907,2
284,'2021/11/10 20:09:49:588',2,0.476183,2
285,'2021/11/10 20:09:49:605',2,0.48215,2
286,'2021/11/10 20:09:49:621',2,0.48215,2
287,'2021/11/10 20:09:49:639',2,0.48215,2
288,'2021/11/10 20:09:49:654',2,0.488985,2
289,'2021/11/10 20:09:49:672',2,0.493438,2
290,'2021/11/10 20:09:49:688',2,0.493438,2
291,'2021/11/10 20:09:49:704',2,0.499006,2
292,'2021/11/10 20:09:49:721',2,0.499006,2
293,'2021/11/10 20:09:49:739',2,0.499006,2
294,'2021/11/10 20:09:49:755',2,0.502548,2
295,'2021/11/10 20:09:49:773',2,0.502548,2
296,'2021/11/10 20:09:49:788',2,0.506137,2
297,'2021/11/10 20:09:49:806',2,0.511309,2
298,'2021/11/10 20:09:49:822',2,0.511309,2
299,'2021/11/10 20:09:49:839',2,0.511309,2
300,'2021/11/10 20:09:49:855',2,0.51364,2
301,'2021/11/10 20:09:49:872',2,0.516717,2
302,'2021/11/10 20:09:49:888',2,0.516717,2
303,'2021/11/10 20:09:49:905',2,0.518313,2
304,'2021/11/10 20:09:49:921',2,0.518313,2
305,'2021/11/10 20:09:49:938',2,0.518358,2
306,'2021/11/10 20:09:49:955',2,0.518358,2
307,'2021/11/10 20:09:49:971',2,0.517834,2
308,'2021/11/10 20:09:49:988',2,0.517834,2
309,'2021/11/10 20:09:50:005',2,0.51808,2
310,'2021/11/10 20:09:50:021',2,0.51808,2
311,'2021/11/10 20:09:50:038',2,0.518587,2
312,'2021/11/10 20:09:50:055',2,0.518587,2
313,'2021/11/10 20:09:50:071',2,0.514388,2
314,'2021/11/10 20:09:50:088',2,0.514388,2
315,'2021/11/10 20:09:50:105',2,0.513933,2
316,'2021/11/10 20:09:50:122',2,0.513933,2
317,'2021/11/10 20:09:50:138',2,0.509581,2
318,'2021/11/10 20:09:50:155',2,0.509581,2
319,'2021/11/10 20:09:50:173',2,0.514,2
320,'2021/11/10 20:09:50:188',2,0.514,2
321,'2021/11/10 20:09:50:205',2,0.516126,2
322,'2021/11/10 20:09:50:221',2,0.516126,2
323,'2021/11/10 20:09:50:238',2,0.515385,2
324,'2021/11/10 20:09:50:254',2,0.515385,2
325,'2021/11/10 20:09:50:271',2,0.512285,2
326,'2021/11/10 20:09:50:288',2,0.512285,2
327,'2021/11/10 20:09:50:305',2,0.512352,2
328,'2021/11/10 20:09:50:321',2,0.512352,2
329,'2021/11/10 20:09:50:338',2,0.50705,2
330,'2021/11/10 20:09:50:355',2,0.50705,2
331,'2021/11/10 20:09:50:371',2,0.504998,2
332,'2021/11/10 20:09:50:389',2,0.504998,2
333,'2021/11/10 20:09:50:405',2,0.499591,2
334,'2021/11/10 20:09:50:422',2,0.499591,2
335,'2021/11/10 20:09:50:438',2,0.491578,2
336,'2021/11/10 20:09:50:456',2,0.491578,2
337,'2021/11/10 20:09:50:472',2,0.485477,2
338,'2021/11/10 20:09:50:489',2,0.485477,2
339,'2021/11/10 20:09:50:506',2,0.481564,2
340,'2021/11/10 20:09:50:522',2,0.481564,2
341,'2021/11/10 20:09:50:541',2,0.47357,2
342,'2021/11/10 20:09:50:556',2,0.47357,2
343,'2021/11/10 20:09:50:572',2,0.468619,2
344,'2021/11/10 20:09:50:588',2,0.468619,2
345,'2021/11/10 20:09:50:606',2,0.460437,2
346,'2021/11/10 20:09:50:622',2,0.460437,2
347,'2021/11/10 20:09:50:639',2,0.458305,2
348,'2021/11/10 20:09:50:655',2,0.458305,2
349,'2021/11/10 20:09:50:673',2,0.451101,2
350,'2021/11/10 20:09:50:689',2,0.451101,2
351,'2021/11/10 20:09:50:705',2,0.446905,2
352,'2021/11/10 20:09:50:722',2,0.446905,2
353,'2021/11/10 20:09:50:740',2,0.442697,2
354,'2021/11/10 20:09:50:756',2,0.442697,2
355,'2021/11/10 20:09:50:773',2,0.439631,2
356,'2021/11/10 20:09:50:789',2,0.439631,2
357,'2021/11/10 20:09:50:807',2,0.433859,2
358,'2021/11/10 20:09:50:823',2,0.433859,2
359,'2021/11/10 20:09:50:840',2,0.430968,2
360,'2021/11/10 20:09:50:856',2,0.430968,2
361,'2021/11/10 20:09:50:873',2,0.431785,2
362,'2021/11/10 20:09:50:890',2,0.431785,2
363,'2021/11/10 20:10:34:708',3,0.937769,3
364,'2021/11/10 20:10:34:725',3,0.937769,3
